timestamp,title,asin,consumptionDurationMs,terminationReason,deviceType,musicTerritory,isShufflePlay,titleSetAsin,trackLengthMs,artistAsin,selectionSourceArtistAsin
2016-08-24 13:27:38 GMT,Realitricked Me (Live at Propolis),B00LR8YFIW,638000,trackFinished,A16ZV8BU3SN1N3,DE,false,,638000,,
2016-08-24 13:16:59 GMT,Creation's Finest (Live at Propolis),B00LR8YES8,416000,trackFinished,A16ZV8BU3SN1N3,DE,false,,416000,,
2016-08-24 13:10:02 GMT,Straight To Hell,B001SOGXBC,271000,trackFinished,A16ZV8BU3SN1N3,DE,false,,271000,,
2016-08-24 13:05:29 GMT,,B002NX64SO,262000,trackFinished,A16ZV8BU3SN1N3,DE,false,,262000,,
2016-08-24 13:01:02 GMT,Blind,B001SMZ6XA,5000,userStop,A16ZV8BU3SN1N3,DE,false,,259000,,
2016-08-24 13:00:57 GMT,Here to Stay [Explicit],B001SMQZRG,271000,trackFinished,A16ZV8BU3SN1N3,DE,false,,271000,,
2016-08-24 12:56:26 GMT,Freak on a Leash [Explicit] [Explicit],B00B9IC4AG,255000,trackFinished,A16ZV8BU3SN1N3,DE,false,,255000,,
2016-08-24 12:52:10 GMT,Did My Time,B001SMZ75W,246000,trackFinished,A16ZV8BU3SN1N3,DE,false,,246000,,
2016-08-24 12:48:03 GMT,Word Up!,B001SMR0CU,172000,trackFinished,A16ZV8BU3SN1N3,DE,false,,172000,,
2016-08-24 12:45:10 GMT,Die With Honor ( Edit Version),B0089QCRDU,256000,trackFinished,A16ZV8BU3SN1N3,DE,false,,256000,,
2016-08-24 12:40:53 GMT,The Sons of Odin,B00B15I0NM,384000,trackFinished,A16ZV8BU3SN1N3,DE,false,,384000,,
2016-08-24 12:34:28 GMT,Youth Of The Nation (2006 Remastered Version),B001SGIY4Y,258000,trackFinished,A16ZV8BU3SN1N3,DE,false,,258000,,
2016-08-24 12:30:09 GMT,Boom (2006 Remastered Version),B001SGIXS6,187000,trackFinished,A16ZV8BU3SN1N3,DE,false,,187000,,
2016-08-24 12:26:58 GMT,Soul Prison (Live at Propolis),B00LR8YHTE,101000,userStop,A16ZV8BU3SN1N3,DE,false,,507000,,
2016-08-24 12:25:17 GMT,Invisible (Live at Propolis),B00LR8YH3A,285000,trackFinished,A16ZV8BU3SN1N3,DE,false,,285000,,
2016-08-24 12:20:31 GMT,I Like It (Live at Propolis),B00LR8YGEU,539000,trackFinished,A16ZV8BU3SN1N3,DE,false,,539000,,
2016-08-24 12:11:30 GMT,Realitricked Me (Live at Propolis),B00LR8YFIW,638000,trackFinished,A16ZV8BU3SN1N3,DE,false,,638000,,
2016-08-24 12:00:52 GMT,Creation's Finest (Live at Propolis),B00LR8YES8,416000,trackFinished,A16ZV8BU3SN1N3,DE,false,,416000,,
2016-08-24 11:53:55 GMT,Straight To Hell,B001SOGXBC,271000,trackFinished,A16ZV8BU3SN1N3,DE,false,,271000,,
2016-08-24 11:49:22 GMT,,B002NX64SO,262000,trackFinished,A16ZV8BU3SN1N3,DE,false,,262000,,
2016-08-24 11:44:55 GMT,The Sons of Odin,B00B15I0NM,345000,userStop,A16ZV8BU3SN1N3,DE,false,,384000,,
2016-08-24 11:39:10 GMT,Youth Of The Nation (2006 Remastered Version),B001SGIY4Y,258000,trackFinished,A16ZV8BU3SN1N3,DE,false,,258000,,
2016-08-24 11:34:52 GMT,Boom (2006 Remastered Version),B001SGIXS6,187000,trackFinished,A16ZV8BU3SN1N3,DE,false,,187000,,
2016-08-23 15:08:13 GMT,Learn to Fly,B00PW0DD98,234000,trackFinished,A16ZV8BU3SN1N3,DE,false,,234000,,
2016-08-23 15:04:17 GMT,My Songs Know What You Did In The Dark (Light Em Up),B00CBRIXWM,186000,trackFinished,A16ZV8BU3SN1N3,DE,false,,186000,,
2016-08-23 15:01:09 GMT,Alive,B00A515AT0,341000,trackFinished,A16ZV8BU3SN1N3,DE,false,,341000,,
2016-08-23 14:55:27 GMT,No One Knows,B004VL14JU,278000,trackFinished,A16ZV8BU3SN1N3,DE,false,,278000,,
2016-08-23 14:50:48 GMT,Song 2,B001QAO1U8,121000,trackFinished,A16ZV8BU3SN1N3,DE,false,,121000,,
2016-08-23 14:48:45 GMT,The Kill (Bury Me),B001QBGL3M,231000,trackFinished,A16ZV8BU3SN1N3,DE,false,,231000,,
2016-08-23 14:44:53 GMT,Rock & Roll Queen,B001S13MX2,171000,trackFinished,A16ZV8BU3SN1N3,DE,false,,171000,,
2016-08-23 14:42:02 GMT,The Feast and The Famine,B00MW5TEQC,229000,trackFinished,A16ZV8BU3SN1N3,DE,false,,229000,,
2016-08-23 14:38:12 GMT,When I Come Around,B001VF9EAA,178000,trackFinished,A16ZV8BU3SN1N3,DE,false,,178000,,
2016-08-23 14:35:12 GMT,It Ain't Over 'Til It's Over (2012 Remaster),B0083LMXSA,242000,trackFinished,A16ZV8BU3SN1N3,DE,false,,242000,,
2016-08-23 14:31:09 GMT,Tainted Love,B001SPXOVS,61000,userNext,A16ZV8BU3SN1N3,DE,false,,200000,,
2016-08-23 14:30:08 GMT,I Just Wanna Live,B004C4FW26,165000,trackFinished,A16ZV8BU3SN1N3,DE,false,,165000,,
2016-08-23 14:27:22 GMT,Meantime,B001S0KY0M,152000,trackFinished,A16ZV8BU3SN1N3,DE,false,,152000,,
2016-08-23 14:24:48 GMT,I Write Sins Not Tragedies,B001SGAOYC,186000,trackFinished,A16ZV8BU3SN1N3,DE,false,,186000,,
2016-08-23 14:21:41 GMT,Come As You Are,B005NK9IX2,218000,trackFinished,A16ZV8BU3SN1N3,DE,false,,218000,,
2016-08-23 14:17:59 GMT,Use Somebody,B002UVFPWA,0,userNext,A16ZV8BU3SN1N3,DE,false,,230000,,
2016-08-23 14:17:57 GMT,Everlong,B00PW0D226,2000,userNext,A16ZV8BU3SN1N3,DE,false,,250000,,
2016-08-23 14:17:53 GMT,Bobby Brown Goes Down,B008U7Z4EW,29000,userStop,A16ZV8BU3SN1N3,DE,false,,169000,,
2016-08-23 14:17:23 GMT,Sailing,B001RZBBHS,1000,userNext,A16ZV8BU3SN1N3,DE,false,,277000,,
2016-08-23 14:17:21 GMT,Knockin' on Heaven's Door,B001W3UPEK,5000,userNext,A16ZV8BU3SN1N3,DE,false,,150000,,
